load_id,customer_id,route_id,load_date,load_status
LOAD00000077,CUST00105,RTE00047,2022-01-02,Completed
LOAD00000078,CUST00060,RTE00036,2022-01-02,Completed
LOAD00000079,CUST00164,RTE00023,2022-01-02,Completed
LOAD00000080,CUST00044,RTE00033,2022-01-02,Completed
LOAD00000081,CUST00073,RTE00005,2022-01-02,Completed
LOAD00000082,CUST00030,RTE00052,2022-01-02,Completed
LOAD00000083,CUST00039,RTE00042,2022-01-02,Completed
LOAD00000084,CUST00175,RTE00001,2022-01-02,Completed
LOAD00000085,CUST00116,RTE00024,2022-01-02,Completed
LOAD00000086,CUST00061,RTE00021,2022-01-02,Completed
LOAD00000087,CUST00078,RTE00022,2022-01-02,Completed
LOAD00000088,CUST00039,RTE00052,2022-01-02,Completed
LOAD00000089,CUST00071,RTE00002,2022-01-02,Completed
LOAD00000090,CUST00032,RTE00046,2022-01-02,Completed
LOAD00000091,CUST00045,RTE00020,2022-01-02,Completed
LOAD00000092,CUST00194,RTE00058,2022-01-02,Completed
LOAD00000093,CUST00012,RTE00013,2022-01-02,Completed
LOAD00000094,CUST00030,RTE00023,2022-01-02,Completed
LOAD00000095,CUST00113,RTE00024,2022-01-02,Completed
LOAD00000096,CUST00121,RTE00026,2022-01-02,Completed
LOAD00000097,CUST00166,RTE00055,2022-01-02,Completed
LOAD00000098,CUST00035,RTE00031,2022-01-02,Completed
LOAD00000099,CUST00047,RTE00018,2022-01-02,Completed
LOAD00000100,CUST00182,RTE00044,2022-01-02,Completed
LOAD00000101,CUST00063,RTE00016,2022-01-02,Completed
LOAD00000102,CUST00003,RTE00008,2022-01-02,Completed
LOAD00000103,CUST00165,RTE00014,2022-01-02,Completed
LOAD00000104,CUST00152,RTE00039,2022-01-02,Completed
LOAD00000105,CUST00181,RTE00045,2022-01-02,Completed
LOAD00000106,CUST00156,RTE00037,2022-01-02,Completed
LOAD00000107,CUST00107,RTE00047,2022-01-02,Completed
LOAD00000108,CUST00171,RTE00010,2022-01-02,Completed
LOAD00000109,CUST00034,RTE00056,2022-01-02,Completed
LOAD00000110,CUST00015,RTE00029,2022-01-02,Completed
LOAD00000111,CUST00042,RTE00001,2022-01-02,Completed
LOAD00000112,CUST00175,RTE00038,2022-01-02,Completed
LOAD00000113,CUST00018,RTE00035,2022-01-02,Completed
LOAD00000114,CUST00198,RTE00046,2022-01-02,Completed
LOAD00000115,CUST00135,RTE00006,2022-01-02,Completed
LOAD00000116,CUST00078,RTE00010,2022-01-02,Completed
LOAD00000117,CUST00137,RTE00004,2022-01-02,Completed
LOAD00000118,CUST00145,RTE00056,2022-01-02,Completed
LOAD00000119,CUST00084,RTE00017,2022-01-02,Completed
LOAD00000120,CUST00085,RTE00002,2022-01-02,Completed
LOAD00000121,CUST00081,RTE00023,2022-01-02,Completed
LOAD00000122,CUST00164,RTE00017,2022-01-02,Completed
LOAD00000123,CUST00177,RTE00024,2022-01-02,Completed
LOAD00000124,CUST00040,RTE00016,2022-01-02,Completed
LOAD00000125,CUST00145,RTE00045,2022-01-02,Completed
LOAD00000126,CUST00094,RTE00035,2022-01-02,Completed
LOAD00000127,CUST00138,RTE00032,2022-01-02,Completed
LOAD00000128,CUST00026,RTE00050,2022-01-02,Completed
LOAD00000129,CUST00126,RTE00035,2022-01-02,Completed
LOAD00000130,CUST00136,RTE00054,2022-01-02,Completed
LOAD00000131,CUST00143,RTE00006,2022-01-02,Completed
LOAD00000132,CUST00098,RTE00050,2022-01-02,Completed
LOAD00000133,CUST00178,RTE00028,2022-01-02,Completed
LOAD00000134,CUST00117,RTE00015,2022-01-02,Completed
LOAD00000135,CUST00123,RTE00003,2022-01-02,Completed
LOAD00000136,CUST00008,RTE00005,2022-01-02,Completed
LOAD00000137,CUST00190,RTE00029,2022-01-02,Completed
LOAD00000138,CUST00093,RTE00004,2022-01-02,Completed
LOAD00000139,CUST00192,RTE00010,2022-01-02,Completed
LOAD00000140,CUST00118,RTE00025,2022-01-02,Completed
LOAD00000141,CUST00018,RTE00013,2022-01-02,Completed
LOAD00000142,CUST00085,RTE00016,2022-01-03,Completed
LOAD00000143,CUST00175,RTE00056,2022-01-03,Completed
LOAD00000144,CUST00143,RTE00010,2022-01-03,Completed
LOAD00000145,CUST00133,RTE00018,2022-01-03,Completed
LOAD00000146,CUST00059,RTE00054,2022-01-03,Completed
LOAD00000147,CUST00010,RTE00025,2022-01-03,Completed
LOAD00000148,CUST00180,RTE00016,2022-01-03,Completed
LOAD00000149,CUST00191,RTE00006,2022-01-03,Completed
LOAD00000150,CUST00125,RTE00045,2022-01-03,Completed
LOAD00000151,CUST00092,RTE00052,2022-01-03,Completed
LOAD00000152,CUST00095,RTE00006,2022-01-03,Completed
LOAD00000153,CUST00063,RTE00033,2022-01-03,Completed
LOAD00000154,CUST00073,RTE00025,2022-01-03,Completed
LOAD00000155,CUST00125,RTE00037,2022-01-03,Completed
LOAD00000156,CUST00159,RTE00006,2022-01-03,Completed
LOAD00000157,CUST00145,RTE00026,2022-01-03,Completed
LOAD00000158,CUST00071,RTE00007,2022-01-03,Completed
LOAD00000159,CUST00096,RTE00018,2022-01-03,Completed
LOAD00000160,CUST00028,RTE00021,2022-01-03,Completed
LOAD00000161,CUST00191,RTE00036,2022-01-03,Completed
LOAD00000162,CUST00003,RTE00046,2022-01-03,Completed
LOAD00000163,CUST00063,RTE00004,2022-01-03,Completed
LOAD00000164,CUST00072,RTE00058,2022-01-03,Completed
LOAD00000165,CUST00107,RTE00015,2022-01-03,Completed
LOAD00000166,CUST00009,RTE00047,2022-01-03,Completed
LOAD00000167,CUST00121,RTE00031,2022-01-03,Completed
LOAD00000168,CUST00111,RTE00021,2022-01-03,Completed
LOAD00000169,CUST00154,RTE00022,2022-01-03,Completed
LOAD00000170,CUST00098,RTE00025,2022-01-03,Completed
LOAD00000171,CUST00061,RTE00051,2022-01-03,Completed
LOAD00000172,CUST00188,RTE00054,2022-01-03,Completed
LOAD00000173,CUST00029,RTE00050,2022-01-03,Completed
LOAD00000174,CUST00183,RTE00016,2022-01-03,Completed
LOAD00000175,CUST00174,RTE00058,2022-01-03,Completed
LOAD00000176,CUST00099,RTE00047,2022-01-03,Completed
LOAD00000177,CUST00027,RTE00052,2022-01-03,Completed
LOAD00000178,CUST00180,RTE00030,2022-01-03,Completed
LOAD00000179,CUST00099,RTE00037,2022-01-03,Completed
LOAD00000180,CUST00079,RTE00013,2022-01-03,Completed
LOAD00000181,CUST00014,RTE00014,2022-01-03,Completed
LOAD00000182,CUST00080,RTE00003,2022-01-03,Completed
LOAD00000183,CUST00077,RTE00042,2022-01-03,Completed
LOAD00000184,CUST00050,RTE00047,2022-01-03,Completed
LOAD00000185,CUST00191,RTE00017,2022-01-03,Completed
LOAD00000186,CUST00083,RTE00044,2022-01-03,Completed
LOAD00000187,CUST00060,RTE00004,2022-01-03,Completed
LOAD00000188,CUST00042,RTE00042,2022-01-03,Completed
LOAD00000189,CUST00075,RTE00041,2022-01-03,Completed
LOAD00000190,CUST00078,RTE00047,2022-01-03,Completed
LOAD00000191,CUST00178,RTE00049,2022-01-03,Completed
LOAD00000192,CUST00052,RTE00007,2022-01-03,Completed
LOAD00000193,CUST00080,RTE00049,2022-01-03,Completed
LOAD00000194,CUST00168,RTE00013,2022-01-03,Completed
LOAD00000195,CUST00074,RTE00037,2022-01-03,Completed
LOAD00000196,CUST00079,RTE00040,2022-01-03,Completed
LOAD00000197,CUST00181,RTE00048,2022-01-03,Completed
LOAD00000198,CUST00061,RTE00023,2022-01-03,Completed
LOAD00000199,CUST00107,RTE00013,2022-01-03,Completed
LOAD00000200,CUST00191,RTE00035,2022-01-03,Completed
LOAD00000201,CUST00041,RTE00035,2022-01-03,Completed
LOAD00000202,CUST00080,RTE00002,2022-01-03,Completed
LOAD00000203,CUST00076,RTE00031,2022-01-03,Completed
LOAD00000204,CUST00005,RTE00042,2022-01-03,Completed
LOAD00000205,CUST00180,RTE00039,2022-01-03,Completed
LOAD00000206,CUST00050,RTE00031,2022-01-03,Completed
LOAD00000207,CUST00161,RTE00017,2022-01-03,Completed
LOAD00000208,CUST00025,RTE00034,2022-01-03,Completed
LOAD00000209,CUST00041,RTE00003,2022-01-03,Completed
LOAD00000210,CUST00084,RTE00013,2022-01-03,Completed
LOAD00000211,CUST00007,RTE00043,2022-01-03,Completed
LOAD00000212,CUST00077,RTE00040,2022-01-03,Completed
LOAD00000213,CUST00031,RTE00056,2022-01-03,Completed
LOAD00000214,CUST00101,RTE00023,2022-01-03,Completed
LOAD00000215,CUST00071,RTE00006,2022-01-03,Completed
LOAD00000216,CUST00028,RTE00047,2022-01-03,Completed
LOAD00000217,CUST00075,RTE00039,2022-01-03,Completed
LOAD00000218,CUST00057,RTE00020,2022-01-03,Completed
LOAD00000219,CUST00029,RTE00038,2022-01-03,Completed
LOAD00000220,CUST00007,RTE00006,2022-01-03,Completed
LOAD00000221,CUST00044,RTE00039,2022-01-04,Completed
LOAD00000222,CUST00013,RTE00028,2022-01-04,Completed
LOAD00000223,CUST00200,RTE00025,2022-01-04,Completed
LOAD00000224,CUST00054,RTE00031,2022-01-04,Completed
LOAD00000225,CUST00034,RTE00039,2022-01-04,Completed
LOAD00000226,CUST00020,RTE00051,2022-01-04,Completed
LOAD00000227,CUST00125,RTE00039,2022-01-04,Completed
LOAD00000228,CUST00051,RTE00054,2022-01-04,Completed
LOAD00000229,CUST00008,RTE00014,2022-01-04,Completed
LOAD00000230,CUST00086,RTE00002,2022-01-04,Completed
LOAD00000231,CUST00184,RTE00033,2022-01-04,Completed
LOAD00000232,CUST00188,RTE00021,2022-01-04,Completed
LOAD00000233,CUST00022,RTE00039,2022-01-04,Completed
LOAD00000234,CUST00049,RTE00031,2022-01-04,Completed
LOAD00000235,CUST00113,RTE00015,2022-01-04,Completed
LOAD00000236,CUST00139,RTE00017,2022-01-04,Completed
LOAD00000237,CUST00038,RTE00007,2022-01-04,Completed
LOAD00000238,CUST00079,RTE00009,2022-01-04,Completed
LOAD00000239,CUST00083,RTE00030,2022-01-04,Completed
LOAD00000240,CUST00011,RTE00028,2022-01-04,Completed
LOAD00000241,CUST00063,RTE00006,2022-01-04,Completed
LOAD00000242,CUST00038,RTE00017,2022-01-04,Completed
LOAD00000243,CUST00167,RTE00006,2022-01-04,Completed
LOAD00000244,CUST00064,RTE00008,2022-01-04,Completed
LOAD00000245,CUST00155,RTE00030,2022-01-04,Completed
LOAD00000246,CUST00013,RTE00028,2022-01-04,Completed
LOAD00000247,CUST00029,RTE00024,2022-01-04,Completed
LOAD00000248,CUST00007,RTE00052,2022-01-04,Completed
LOAD00000249,CUST00177,RTE00046,2022-01-04,Completed
LOAD00000250,CUST00011,RTE00011,2022-01-04,Completed
LOAD00000251,CUST00084,RTE00055,2022-01-04,Completed
LOAD00000252,CUST00069,RTE00016,2022-01-04,Completed
LOAD00000253,CUST00199,RTE00042,2022-01-04,Completed
LOAD00000254,CUST00043,RTE00009,2022-01-04,Completed
LOAD00000255,CUST00165,RTE00057,2022-01-04,Completed
LOAD00000256,CUST00146,RTE00031,2022-01-04,Completed
LOAD00000257,CUST00096,RTE00018,2022-01-04,Completed
LOAD00000258,CUST00029,RTE00007,2022-01-04,Completed
LOAD00000259,CUST00176,RTE00052,2022-01-04,Completed
LOAD00000260,CUST00139,RTE00022,2022-01-04,Completed
LOAD00000261,CUST00109,RTE00032,2022-01-04,Completed
LOAD00000262,CUST00162,RTE00038,2022-01-04,Completed
LOAD00000263,CUST00092,RTE00040,2022-01-04,Completed
LOAD00000264,CUST00078,RTE00003,2022-01-04,Completed
LOAD00000265,CUST00056,RTE00042,2022-01-04,Completed
LOAD00000266,CUST00089,RTE00058,2022-01-04,Completed
LOAD00000267,CUST00072,RTE00020,2022-01-04,Completed
LOAD00000268,CUST00121,RTE00055,2022-01-04,Completed
LOAD00000269,CUST00110,RTE00030,2022-01-04,Completed
LOAD00000270,CUST00105,RTE00001,2022-01-04,Completed
LOAD00000271,CUST00011,RTE00009,2022-01-04,Completed
LOAD00000272,CUST00022,RTE00051,2022-01-04,Completed
LOAD00000273,CUST00069,RTE00015,2022-01-04,Completed
LOAD00000274,CUST00058,RTE00058,2022-01-04,Completed
LOAD00000275,CUST00115,RTE00008,2022-01-04,Completed
LOAD00000276,CUST00091,RTE00027,2022-01-04,Completed
LOAD00000277,CUST00196,RTE00050,2022-01-04,Completed
LOAD00000278,CUST00187,RTE00026,2022-01-04,Completed
LOAD00000279,CUST00049,RTE00009,2022-01-04,Completed
LOAD00000280,CUST00141,RTE00031,2022-01-04,Completed
LOAD00000281,CUST00163,RTE00030,2022-01-04,Completed
LOAD00000282,CUST00072,RTE00011,2022-01-04,Completed
LOAD00000283,CUST00044,RTE00026,2022-01-04,Completed
LOAD00000284,CUST00162,RTE00023,2022-01-04,Completed
LOAD00000285,CUST00061,RTE00019,2022-01-04,Completed
LOAD00000286,CUST00125,RTE00048,2022-01-04,Completed
LOAD00000287,CUST00077,RTE00038,2022-01-04,Completed
LOAD00000288,CUST00098,RTE00031,2022-01-04,Completed
LOAD00000289,CUST00107,RTE00025,2022-01-04,Completed
LOAD00000290,CUST00128,RTE00051,2022-01-04,Completed
LOAD00000291,CUST00014,RTE00047,2022-01-05,Completed
LOAD00000292,CUST00180,RTE00049,2022-01-05,Completed
LOAD00000293,CUST00186,RTE00044,2022-01-05,Completed
LOAD00000294,CUST00135,RTE00030,2022-01-05,Completed
LOAD00000295,CUST00094,RTE00010,2022-01-05,Completed
LOAD00000296,CUST00012,RTE00017,2022-01-05,Completed
LOAD00000297,CUST00147,RTE00029,2022-01-05,Completed
LOAD00000298,CUST00017,RTE00011,2022-01-05,Completed
LOAD00000299,CUST00181,RTE00054,2022-01-05,Completed
LOAD00000300,CUST00062,RTE00053,2022-01-05,Completed
LOAD00000301,CUST00066,RTE00026,2022-01-05,Completed
LOAD00000302,CUST00094,RTE00042,2022-01-05,Completed
LOAD00000303,CUST00028,RTE00008,2022-01-05,Completed
LOAD00000304,CUST00010,RTE00039,2022-01-05,Completed
LOAD00000305,CUST00061,RTE00003,2022-01-05,Completed
LOAD00000306,CUST00077,RTE00030,2022-01-05,Completed
LOAD00000307,CUST00193,RTE00057,2022-01-05,Completed
LOAD00000308,CUST00093,RTE00045,2022-01-05,Completed
LOAD00000309,CUST00010,RTE00049,2022-01-05,Completed
LOAD00000310,CUST00178,RTE00031,2022-01-05,Completed
LOAD00000311,CUST00088,RTE00055,2022-01-05,Completed
LOAD00000312,CUST00193,RTE00017,2022-01-05,Completed
LOAD00000313,CUST00122,RTE00036,2022-01-05,Completed
LOAD00000314,CUST00003,RTE00051,2022-01-05,Completed
LOAD00000315,CUST00043,RTE00053,2022-01-05,Completed
LOAD00000316,CUST00099,RTE00001,2022-01-05,Completed
LOAD00000317,CUST00013,RTE00037,2022-01-05,Completed
LOAD00000318,CUST00088,RTE00009,2022-01-05,Completed
LOAD00000319,CUST00135,RTE00044,2022-01-05,Completed
LOAD00000320,CUST00098,RTE00032,2022-01-05,Completed
LOAD00000321,CUST00021,RTE00005,2022-01-05,Completed
LOAD00000322,CUST00171,RTE00034,2022-01-05,Completed
LOAD00000323,CUST00094,RTE00017,2022-01-05,Completed
LOAD00000324,CUST00199,RTE00005,2022-01-05,Completed
LOAD00000325,CUST00195,RTE00024,2022-01-05,Completed
LOAD00000326,CUST00062,RTE00041,2022-01-05,Completed
LOAD00000327,CUST00198,RTE00033,2022-01-05,Completed
LOAD00000328,CUST00174,RTE00024,2022-01-05,Completed
LOAD00000329,CUST00084,RTE00037,2022-01-05,Completed
LOAD00000330,CUST00048,RTE00035,2022-01-05,Completed
LOAD00000331,CUST00056,RTE00017,2022-01-05,Completed
LOAD00000332,CUST00037,RTE00032,2022-01-05,Completed
LOAD00000333,CUST00092,RTE00039,2022-01-05,Completed
LOAD00000334,CUST00168,RTE00028,2022-01-05,Completed
LOAD00000335,CUST00046,RTE00039,2022-01-05,Completed
LOAD00000336,CUST00041,RTE00035,2022-01-05,Completed
LOAD00000337,CUST00097,RTE00042,2022-01-05,Completed
LOAD00000338,CUST00067,RTE00034,2022-01-05,Completed
LOAD00000339,CUST00047,RTE00019,2022-01-05,Completed
LOAD00000340,CUST00036,RTE00022,2022-01-05,Completed
LOAD00000341,CUST00021,RTE00004,2022-01-05,Completed
LOAD00000342,CUST00118,RTE00049,2022-01-05,Completed
LOAD00000343,CUST00162,RTE00038,2022-01-05,Completed
LOAD00000344,CUST00059,RTE00051,2022-01-05,Completed
LOAD00000345,CUST00056,RTE00002,2022-01-05,Completed
LOAD00000346,CUST00093,RTE00015,2022-01-05,Completed
LOAD00000347,CUST00162,RTE00003,2022-01-05,Completed
LOAD00000348,CUST00181,RTE00006,2022-01-05,Completed
LOAD00000349,CUST00017,RTE00039,2022-01-05,Completed
LOAD00000350,CUST00072,RTE00013,2022-01-05,Completed
LOAD00000351,CUST00171,RTE00031,2022-01-05,Completed
LOAD00000352,CUST00177,RTE00009,2022-01-05,Completed
LOAD00000353,CUST00181,RTE00046,2022-01-05,Completed
LOAD00000354,CUST00171,RTE00057,2022-01-05,Completed
LOAD00000355,CUST00159,RTE00033,2022-01-05,Completed
LOAD00000356,CUST00154,RTE00056,2022-01-05,Completed
LOAD00000357,CUST00122,RTE00033,2022-01-05,Completed
LOAD00000358,CUST00143,RTE00029,2022-01-05,Completed
LOAD00000359,CUST00127,RTE00014,2022-01-05,Completed
LOAD00000360,CUST00119,RTE00035,2022-01-05,Completed
LOAD00000361,CUST00067,RTE00036,2022-01-05,Completed
LOAD00000362,CUST00045,RTE00034,2022-01-05,Completed
LOAD00000363,CUST00051,RTE00027,2022-01-05,Completed
LOAD00000364,CUST00196,RTE00027,2022-01-05,Completed
LOAD00000365,CUST00165,RTE00008,2022-01-05,Completed
LOAD00000366,CUST00038,RTE00002,2022-01-05,Completed
LOAD00000367,CUST00015,RTE00043,2022-01-05,Completed
LOAD00000368,CUST00149,RTE00030,2022-01-06,Completed
LOAD00000369,CUST00013,RTE00048,2022-01-06,Completed
LOAD00000370,CUST00190,RTE00007,2022-01-06,Completed
LOAD00000371,CUST00054,RTE00048,2022-01-06,Completed
LOAD00000372,CUST00010,RTE00049,2022-01-06,Completed
LOAD00000373,CUST00023,RTE00028,2022-01-06,Completed
LOAD00000374,CUST00073,RTE00001,2022-01-06,Completed
LOAD00000375,CUST00075,RTE00007,2022-01-06,Completed
LOAD00000376,CUST00161,RTE00052,2022-01-06,Completed
LOAD00000377,CUST00165,RTE00047,2022-01-06,Completed
LOAD00000378,CUST00151,RTE00050,2022-01-06,Completed
LOAD00000379,CUST00188,RTE00030,2022-01-06,Completed
LOAD00000380,CUST00071,RTE00011,2022-01-06,Completed
LOAD00000381,CUST00070,RTE00029,2022-01-06,Completed
LOAD00000382,CUST00182,RTE00048,2022-01-06,Completed
LOAD00000383,CUST00021,RTE00048,2022-01-06,Completed
LOAD00000384,CUST00078,RTE00021,2022-01-06,Completed
LOAD00000385,CUST00025,RTE00050,2022-01-06,Completed
LOAD00000386,CUST00019,RTE00054,2022-01-06,Completed
LOAD00000387,CUST00170,RTE00054,2022-01-06,Completed
LOAD00000388,CUST00053,RTE00029,2022-01-06,Completed
LOAD00000389,CUST00132,RTE00037,2022-01-06,Completed
LOAD00000390,CUST00097,RTE00018,2022-01-06,Completed
LOAD00000391,CUST00029,RTE00047,2022-01-06,Completed
LOAD00000392,CUST00125,RTE00020,2022-01-06,Completed
LOAD00000393,CUST00106,RTE00020,2022-01-06,Completed
LOAD00000394,CUST00177,RTE00032,2022-01-06,Completed
LOAD00000395,CUST00091,RTE00005,2022-01-06,Completed
LOAD00000396,CUST00051,RTE00044,2022-01-06,Completed
LOAD00000397,CUST00174,RTE00024,2022-01-06,Completed
LOAD00000398,CUST00099,RTE00004,2022-01-06,Completed
LOAD00000399,CUST00182,RTE00032,2022-01-06,Completed
LOAD00000400,CUST00188,RTE00052,2022-01-06,Completed
LOAD00000401,CUST00013,RTE00002,2022-01-06,Completed
LOAD00000402,CUST00055,RTE00032,2022-01-06,Completed
LOAD00000403,CUST00067,RTE00058,2022-01-06,Completed
LOAD00000404,CUST00173,RTE00013,2022-01-06,Completed
LOAD00000405,CUST00140,RTE00022,2022-01-06,Completed
LOAD00000406,CUST00152,RTE00034,2022-01-06,Completed
LOAD00000407,CUST00048,RTE00022,2022-01-06,Completed
LOAD00000408,CUST00173,RTE00012,2022-01-06,Completed
LOAD00000409,CUST00095,RTE00019,2022-01-06,Completed
LOAD00000410,CUST00055,RTE00018,2022-01-06,Completed
LOAD00000411,CUST00103,RTE00026,2022-01-06,Completed
LOAD00000412,CUST00025,RTE00049,2022-01-06,Completed
LOAD00000413,CUST00191,RTE00036,2022-01-06,Completed
LOAD00000414,CUST00031,RTE00047,2022-01-06,Completed
LOAD00000415,CUST00027,RTE00045,2022-01-06,Completed
LOAD00000416,CUST00193,RTE00012,2022-01-06,Completed
LOAD00000417,CUST00149,RTE00029,2022-01-06,Completed
LOAD00000418,CUST00021,RTE00008,2022-01-06,Completed
LOAD00000419,CUST00083,RTE00033,2022-01-06,Completed
LOAD00000420,CUST00025,RTE00028,2022-01-06,Completed
LOAD00000421,CUST00110,RTE00003,2022-01-06,Completed
LOAD00000422,CUST00131,RTE00020,2022-01-06,Completed
LOAD00000423,CUST00093,RTE00034,2022-01-06,Completed
LOAD00000424,CUST00131,RTE00054,2022-01-06,Completed
LOAD00000425,CUST00125,RTE00023,2022-01-06,Completed
LOAD00000426,CUST00176,RTE00055,2022-01-06,Completed
LOAD00000427,CUST00039,RTE00001,2022-01-06,Completed
LOAD00000428,CUST00099,RTE00009,2022-01-06,Completed
LOAD00000429,CUST00063,RTE00032,2022-01-06,Completed
LOAD00000430,CUST00120,RTE00022,2022-01-06,Completed
LOAD00000431,CUST00144,RTE00009,2022-01-06,Completed
LOAD00000432,CUST00073,RTE00045,2022-01-06,Completed
LOAD00000433,CUST00164,RTE00050,2022-01-06,Completed
LOAD00000434,CUST00066,RTE00030,2022-01-06,Completed
LOAD00000435,CUST00175,RTE00003,2022-01-06,Completed
LOAD00000436,CUST00102,RTE00052,2022-01-06,Completed
LOAD00000437,CUST00045,RTE00048,2022-01-06,Completed
LOAD00000438,CUST00049,RTE00047,2022-01-06,Completed
LOAD00000439,CUST00140,RTE00004,2022-01-06,Completed
LOAD00000440,CUST00179,RTE00005,2022-01-06,Completed
LOAD00000441,CUST00145,RTE00008,2022-01-06,Completed
LOAD00000442,CUST00071,RTE00020,2022-01-06,Completed
LOAD00000443,CUST00183,RTE00033,2022-01-06,Completed
LOAD00000444,CUST00044,RTE00015,2022-01-06,Completed
LOAD00000445,CUST00054,RTE00039,2022-01-06,Completed
LOAD00000446,CUST00013,RTE00052,2022-01-06,Completed
LOAD00000447,CUST00118,RTE00049,2022-01-06,Completed
LOAD00000448,CUST00195,RTE00021,2022-01-06,Completed
LOAD00000449,CUST00138,RTE00007,2022-01-07,Completed
LOAD00000450,CUST00072,RTE00001,2022-01-07,Completed
