expense_id,delivery_id,expense_type,expense_date,amount
FUEL00024096,DLV00081491,Fuel,2024-11-13,420.47
FUEL00024430,DLV00082160,Fuel,2024-11-21,709.06
FUEL00024477,DLV00081603,Fuel,2024-11-13,467.26
FUEL00024499,DLV00083958,Fuel,2024-12-13,605.52
FUEL00024820,DLV00081040,Fuel,2024-11-05,346.35
FUEL00024942,DLV00080939,Fuel,2024-11-05,680.61
FUEL00026039,DLV00084437,Fuel,2024-12-20,368.83
FUEL00026716,DLV00085309,Fuel,2024-12-30,282.49
FUEL00026918,DLV00082959,Fuel,2024-11-30,736.7
FUEL00027105,DLV00082024,Fuel,2024-11-18,511.69
FUEL00027124,DLV00081126,Fuel,2024-11-06,704.14
FUEL00027625,DLV00082945,Fuel,2024-11-30,347.68
FUEL00028398,DLV00082236,Fuel,2024-11-21,376.66
FUEL00028453,DLV00083051,Fuel,2024-12-02,562.79
FUEL00028582,DLV00082531,Fuel,2024-11-25,426.23
FUEL00029156,DLV00085078,Fuel,2024-12-29,299.28
FUEL00029642,DLV00082166,Fuel,2024-11-21,488.17
FUEL00029834,DLV00080926,Fuel,2024-11-04,242.18
FUEL00029954,DLV00082030,Fuel,2024-11-19,239.08
FUEL00030570,DLV00081323,Fuel,2024-11-10,455.67
FUEL00030614,DLV00083508,Fuel,2024-12-08,728.21
FUEL00031788,DLV00081960,Fuel,2024-11-17,573.92
FUEL00031898,DLV00083683,Fuel,2024-12-09,224.39
FUEL00031915,DLV00084841,Fuel,2024-12-26,391.64
FUEL00032061,DLV00082967,Fuel,2024-11-30,631.76
FUEL00032277,DLV00081104,Fuel,2024-11-08,700.63
FUEL00032324,DLV00082286,Fuel,2024-11-21,756.65
FUEL00032485,DLV00084801,Fuel,2024-12-23,613.25
FUEL00033181,DLV00084627,Fuel,2024-12-23,737.35
FUEL00033656,DLV00084441,Fuel,2024-12-19,291.14
FUEL00033880,DLV00083519,Fuel,2024-12-07,485.53
FUEL00034361,DLV00081789,Fuel,2024-11-14,411.62
FUEL00034969,DLV00082068,Fuel,2024-11-18,545.28
FUEL00035124,DLV00081931,Fuel,2024-11-17,535.92
FUEL00035446,DLV00081646,Fuel,2024-11-13,677.81
FUEL00035606,DLV00082160,Fuel,2024-11-19,620.51
FUEL00036536,DLV00085149,Fuel,2024-12-30,342.53
FUEL00036540,DLV00085028,Fuel,2024-12-29,313.97
FUEL00037140,DLV00084892,Fuel,2024-12-25,642.37
FUEL00037428,DLV00081106,Fuel,2024-11-08,276.82
FUEL00038269,DLV00084764,Fuel,2024-12-26,520.48
FUEL00038308,DLV00081323,Fuel,2024-11-10,350.32
FUEL00038828,DLV00082768,Fuel,2024-11-28,564.12
FUEL00039256,DLV00083903,Fuel,2024-12-13,613.13
FUEL00039301,DLV00081972,Fuel,2024-11-17,699.51
FUEL00039401,DLV00082167,Fuel,2024-11-20,625.63
FUEL00039407,DLV00083829,Fuel,2024-12-10,439.43
FUEL00039582,DLV00085080,Fuel,2024-12-27,448.32
FUEL00040072,DLV00081972,Fuel,2024-11-17,626.84
FUEL00040167,DLV00083259,Fuel,2024-12-03,385.53
FUEL00040441,DLV00084282,Fuel,2024-12-19,207.71
FUEL00040445,DLV00084627,Fuel,2024-12-23,455.99
FUEL00040483,DLV00084506,Fuel,2024-12-21,660.21
FUEL00041387,DLV00081834,Fuel,2024-11-16,718.88
FUEL00041454,DLV00084512,Fuel,2024-12-21,387.33
FUEL00042120,DLV00085108,Fuel,2024-12-30,271.85
FUEL00042377,DLV00081044,Fuel,2024-11-05,231.53
FUEL00042470,DLV00081677,Fuel,2024-11-15,353.76
FUEL00042538,DLV00083793,Fuel,2024-12-12,335.97
FUEL00042628,DLV00082376,Fuel,2024-11-22,198.18
FUEL00043092,DLV00084627,Fuel,2024-12-22,194.53
FUEL00044235,DLV00081219,Fuel,2024-11-08,618.39
FUEL00044304,DLV00083290,Fuel,2024-12-05,445.74
FUEL00044418,DLV00084497,Fuel,2024-12-20,391.47
FUEL00044874,DLV00081741,Fuel,2024-11-14,581.27
FUEL00044982,DLV00084497,Fuel,2024-12-21,281.92
FUEL00045162,DLV00084766,Fuel,2024-12-23,365.68
FUEL00045314,DLV00081387,Fuel,2024-11-09,611.62
FUEL00045430,DLV00085122,Fuel,2024-12-28,284.37
FUEL00045714,DLV00083711,Fuel,2024-12-10,607.39
FUEL00046216,DLV00082497,Fuel,2024-11-25,427.92
FUEL00046314,DLV00084922,Fuel,2024-12-26,366.63
FUEL00046358,DLV00081126,Fuel,2024-11-07,482.22
FUEL00047078,DLV00082220,Fuel,2024-11-21,215.83
FUEL00047381,DLV00083816,Fuel,2024-12-11,264.7
FUEL00047431,DLV00083218,Fuel,2024-12-02,386.43
FUEL00047876,DLV00083869,Fuel,2024-12-11,455.78
FUEL00047950,DLV00083683,Fuel,2024-12-11,612.62
FUEL00048207,DLV00085124,Fuel,2024-12-30,276.77
FUEL00048823,DLV00083808,Fuel,2024-12-10,267.67
FUEL00049070,DLV00084497,Fuel,2024-12-20,548.51
FUEL00049164,DLV00084716,Fuel,2024-12-24,603.24
FUEL00050046,DLV00082563,Fuel,2024-11-26,284
FUEL00050271,DLV00083996,Fuel,2024-12-15,409.58
FUEL00050911,DLV00080904,Fuel,2024-11-03,439.68
FUEL00051154,DLV00082134,Fuel,2024-11-18,280.88
FUEL00051276,DLV00083616,Fuel,2024-12-09,502.03
FUEL00051337,DLV00083505,Fuel,2024-12-07,385.55
FUEL00051378,DLV00082049,Fuel,2024-11-19,382.16
FUEL00051486,DLV00082359,Fuel,2024-11-21,217.32
FUEL00051866,DLV00083903,Fuel,2024-12-11,389.19
FUEL00051987,DLV00082768,Fuel,2024-11-27,338.98
FUEL00052324,DLV00085358,Fuel,2025-01-01,647.74
FUEL00052337,DLV00082543,Fuel,2024-11-24,403.2
FUEL00052410,DLV00082336,Fuel,2024-11-22,583.48
FUEL00052702,DLV00083340,Fuel,2024-12-05,411.77
FUEL00052773,DLV00084437,Fuel,2024-12-20,418.8
FUEL00052778,DLV00080785,Fuel,2024-11-03,448.72
FUEL00052977,DLV00081834,Fuel,2024-11-15,299.9
FUEL00053083,DLV00080728,Fuel,2024-11-01,796.06
FUEL00053122,DLV00084830,Fuel,2024-12-26,207.49
FUEL00053177,DLV00083364,Fuel,2024-12-05,372.27
FUEL00053192,DLV00085358,Fuel,2025-01-02,729.89
FUEL00053298,DLV00081621,Fuel,2024-11-12,644.94
FUEL00053325,DLV00083519,Fuel,2024-12-06,289.06
FUEL00053701,DLV00083022,Fuel,2024-12-01,479.07
FUEL00054717,DLV00085370,Fuel,2025-01-02,395.26
FUEL00055040,DLV00085075,Fuel,2024-12-27,624.81
FUEL00055199,DLV00081381,Fuel,2024-11-09,540.22
FUEL00055381,DLV00084241,Fuel,2024-12-17,328.98
FUEL00056086,DLV00083600,Fuel,2024-12-08,762.96
FUEL00056472,DLV00084134,Fuel,2024-12-15,599.44
FUEL00056775,DLV00082167,Fuel,2024-11-21,522.87
FUEL00057038,DLV00084441,Fuel,2024-12-21,356.95
FUEL00057677,DLV00084305,Fuel,2024-12-18,505.03
FUEL00059229,DLV00081219,Fuel,2024-11-07,634.53
FUEL00059616,DLV00081960,Fuel,2024-11-16,653.8
FUEL00059877,DLV00083259,Fuel,2024-12-05,234.77
FUEL00060090,DLV00084801,Fuel,2024-12-25,234.13
FUEL00060125,DLV00085122,Fuel,2024-12-28,262.91
FUEL00060166,DLV00083748,Fuel,2024-12-12,382.48
FUEL00060680,DLV00084914,Fuel,2024-12-26,377.53
FUEL00060765,DLV00083098,Fuel,2024-12-01,210.38
FUEL00060869,DLV00085267,Fuel,2024-12-31,564.9
FUEL00061504,DLV00081689,Fuel,2024-11-14,579.49
FUEL00061560,DLV00082359,Fuel,2024-11-23,583.36
FUEL00061586,DLV00081651,Fuel,2024-11-14,436.56
FUEL00061645,DLV00081104,Fuel,2024-11-05,613.86
FUEL00061662,DLV00081590,Fuel,2024-11-13,564.71
FUEL00061811,DLV00085267,Fuel,2025-01-01,419.21
FUEL00061914,DLV00081590,Fuel,2024-11-12,329.82
FUEL00062238,DLV00082012,Fuel,2024-11-17,701.63
FUEL00062647,DLV00082792,Fuel,2024-11-27,554.13
FUEL00063137,DLV00085291,Fuel,2024-12-31,287.35
FUEL00063718,DLV00081044,Fuel,2024-11-07,745.21
FUEL00064173,DLV00082220,Fuel,2024-11-19,489.2
FUEL00064189,DLV00082959,Fuel,2024-11-30,381.92
FUEL00064318,DLV00083051,Fuel,2024-12-02,517.09
FUEL00065274,DLV00083290,Fuel,2024-12-04,819.72
FUEL00065997,DLV00084625,Fuel,2024-12-22,603.77
FUEL00066339,DLV00085075,Fuel,2024-12-28,251.5
FUEL00066775,DLV00083393,Fuel,2024-12-05,241.81
FUEL00066921,DLV00083396,Fuel,2024-12-07,480.53
FUEL00066991,DLV00084007,Fuel,2024-12-15,385.34
FUEL00067085,DLV00081874,Fuel,2024-11-17,590.06
FUEL00067219,DLV00085108,Fuel,2024-12-28,209.03
FUEL00067739,DLV00083208,Fuel,2024-12-03,232.13
FUEL00068391,DLV00084801,Fuel,2024-12-24,505.99
FUEL00068417,DLV00081032,Fuel,2024-11-07,507.42
FUEL00069147,DLV00082043,Fuel,2024-11-18,515.49
FUEL00069257,DLV00081832,Fuel,2024-11-16,351.64
FUEL00069365,DLV00085273,Fuel,2024-12-30,705.77
FUEL00069517,DLV00084892,Fuel,2024-12-25,481.47
FUEL00069766,DLV00084282,Fuel,2024-12-18,584.69
FUEL00069948,DLV00082097,Fuel,2024-11-20,588.77
FUEL00070375,DLV00084892,Fuel,2024-12-26,644.62
FUEL00070403,DLV00084145,Fuel,2024-12-17,368.63
FUEL00070552,DLV00081848,Fuel,2024-11-17,240.43
FUEL00071615,DLV00081931,Fuel,2024-11-17,174.46
FUEL00072268,DLV00083368,Fuel,2024-12-06,394.07
FUEL00072309,DLV00081915,Fuel,2024-11-17,543.14
FUEL00072726,DLV00081379,Fuel,2024-11-10,347.76
FUEL00073728,DLV00082376,Fuel,2024-11-22,302.23
FUEL00073811,DLV00084377,Fuel,2024-12-20,636.43
FUEL00073847,DLV00082519,Fuel,2024-11-23,373.73
FUEL00074329,DLV00084627,Fuel,2024-12-23,552.37
FUEL00074889,DLV00081040,Fuel,2024-11-05,636.89
FUEL00074920,DLV00084287,Fuel,2024-12-19,309.49
FUEL00074975,DLV00084407,Fuel,2024-12-20,339.1
FUEL00075051,DLV00082670,Fuel,2024-11-27,426.51
FUEL00075168,DLV00082336,Fuel,2024-11-22,285.87
FUEL00075419,DLV00083987,Fuel,2024-12-12,333.04
FUEL00075468,DLV00082945,Fuel,2024-12-01,200.58
FUEL00075938,DLV00082929,Fuel,2024-11-30,389.44
FUEL00076555,DLV00082068,Fuel,2024-11-19,308.27
FUEL00076634,DLV00082563,Fuel,2024-11-25,617.3
FUEL00077095,DLV00082386,Fuel,2024-11-22,363.06
FUEL00077136,DLV00081000,Fuel,2024-11-05,472.15
FUEL00077318,DLV00084305,Fuel,2024-12-19,450.96
FUEL00077378,DLV00084830,Fuel,2024-12-26,264.23
FUEL00077491,DLV00081764,Fuel,2024-11-14,690.52
FUEL00077868,DLV00082945,Fuel,2024-12-01,278.8
FUEL00078397,DLV00082097,Fuel,2024-11-18,571.89
FUEL00078610,DLV00084145,Fuel,2024-12-16,739.45
FUEL00078681,DLV00083829,Fuel,2024-12-10,628.46
FUEL00078898,DLV00085080,Fuel,2024-12-27,612.31
FUEL00078923,DLV00083879,Fuel,2024-12-12,670.08
FUEL00078941,DLV00083711,Fuel,2024-12-09,350.7
FUEL00079109,DLV00081736,Fuel,2024-11-13,344.58
FUEL00079497,DLV00083353,Fuel,2024-12-06,692.06
FUEL00080053,DLV00082519,Fuel,2024-11-23,556.86
FUEL00080114,DLV00083413,Fuel,2024-12-07,601.16
FUEL00080151,DLV00082012,Fuel,2024-11-17,405
FUEL00080224,DLV00084661,Fuel,2024-12-23,282.99
FUEL00081016,DLV00084305,Fuel,2024-12-18,551.4
FUEL00081027,DLV00085270,Fuel,2024-12-30,308.81
FUEL00081661,DLV00084388,Fuel,2024-12-20,590.03
FUEL00081783,DLV00084070,Fuel,2024-12-14,454.76
FUEL00081936,DLV00083529,Fuel,2024-12-07,418.29
FUEL00082003,DLV00081104,Fuel,2024-11-05,478.18
FUEL00082763,DLV00081651,Fuel,2024-11-12,241.63
FUEL00083122,DLV00084388,Fuel,2024-12-18,758.15
FUEL00083292,DLV00081794,Fuel,2024-11-14,635.17
FUEL00083440,DLV00081688,Fuel,2024-11-13,471.79
FUEL00083512,DLV00082336,Fuel,2024-11-21,257.52
FUEL00083676,DLV00081651,Fuel,2024-11-13,457.43
FUEL00083721,DLV00085075,Fuel,2024-12-29,676.28
FUEL00083739,DLV00083481,Fuel,2024-12-08,434.82
FUEL00083796,DLV00081576,Fuel,2024-11-14,504.07
FUEL00083915,DLV00083987,Fuel,2024-12-13,355.19
FUEL00084167,DLV00084372,Fuel,2024-12-18,186.28
FUEL00084213,DLV00081874,Fuel,2024-11-15,473.63
FUEL00084300,DLV00082166,Fuel,2024-11-20,567.11
FUEL00084489,DLV00085211,Fuel,2024-12-30,218.95
FUEL00084851,DLV00081972,Fuel,2024-11-16,216.23
FUEL00085436,DLV00081764,Fuel,2024-11-16,233.09
FUEL00086765,DLV00083879,Fuel,2024-12-13,464.33
FUEL00087411,DLV00083508,Fuel,2024-12-07,454.21
FUEL00087639,DLV00082166,Fuel,2024-11-19,635.12
FUEL00087704,DLV00083869,Fuel,2024-12-13,370.24
FUEL00087834,DLV00083987,Fuel,2024-12-14,229.5
FUEL00087866,DLV00083022,Fuel,2024-12-01,629.13
FUEL00088721,DLV00081688,Fuel,2024-11-14,404.57
FUEL00088941,DLV00085185,Fuel,2024-12-31,389.33
FUEL00089166,DLV00081195,Fuel,2024-11-07,299.27
FUEL00089438,DLV00083600,Fuel,2024-12-08,207.85
FUEL00089449,DLV00084716,Fuel,2024-12-22,351.32
FUEL00089454,DLV00082670,Fuel,2024-11-26,401.23
FUEL00089650,DLV00083816,Fuel,2024-12-11,227.53
FUEL00089874,DLV00083748,Fuel,2024-12-10,623.84
FUEL00089958,DLV00085358,Fuel,2025-01-01,561.73
FUEL00090464,DLV00082100,Fuel,2024-11-18,703.57
FUEL00090849,DLV00081503,Fuel,2024-11-12,206.78
FUEL00091225,DLV00081688,Fuel,2024-11-15,462.26
FUEL00091569,DLV00082614,Fuel,2024-11-26,787.33
FUEL00091900,DLV00080785,Fuel,2024-11-04,540.83
FUEL00092043,DLV00081428,Fuel,2024-11-10,548.77
FUEL00092140,DLV00084377,Fuel,2024-12-19,716.14
FUEL00092452,DLV00081761,Fuel,2024-11-16,516.25
FUEL00092654,DLV00081848,Fuel,2024-11-17,716.15
FUEL00092676,DLV00080874,Fuel,2024-11-03,645.23
FUEL00093315,DLV00081045,Fuel,2024-11-07,727.99
FUEL00093410,DLV00084282,Fuel,2024-12-17,202.42
FUEL00093528,DLV00081166,Fuel,2024-11-08,515.07
FUEL00093806,DLV00084735,Fuel,2024-12-25,562.64
FUEL00094019,DLV00083022,Fuel,2024-11-30,269.1
FUEL00094160,DLV00081044,Fuel,2024-11-06,687.36
FUEL00094340,DLV00083368,Fuel,2024-12-06,321.75
FUEL00094565,DLV00083329,Fuel,2024-12-06,262.06
FUEL00095510,DLV00084282,Fuel,2024-12-17,307.03
FUEL00095748,DLV00084922,Fuel,2024-12-27,450.67
FUEL00095779,DLV00082777,Fuel,2024-11-28,410.09
FUEL00096263,DLV00084611,Fuel,2024-12-23,255.59
FUEL00096290,DLV00081553,Fuel,2024-11-11,526.3
FUEL00096452,DLV00082043,Fuel,2024-11-17,729.32
FUEL00096599,DLV00083477,Fuel,2024-12-08,225.41
FUEL00096729,DLV00081761,Fuel,2024-11-15,238.56
FUEL00097009,DLV00081735,Fuel,2024-11-15,419.97
FUEL00097216,DLV00081677,Fuel,2024-11-15,251.17
FUEL00097226,DLV00081789,Fuel,2024-11-15,367.85
FUEL00097330,DLV00084849,Fuel,2024-12-26,539.4
FUEL00097612,DLV00081646,Fuel,2024-11-13,806.8
FUEL00097706,DLV00083477,Fuel,2024-12-06,665.33
FUEL00097766,DLV00081326,Fuel,2024-11-09,641.86
FUEL00098440,DLV00081123,Fuel,2024-11-08,478.72
FUEL00098751,DLV00082515,Fuel,2024-11-24,172.91
FUEL00098818,DLV00083320,Fuel,2024-12-06,427.25
FUEL00099874,DLV00081741,Fuel,2024-11-14,524.13
FUEL00099920,DLV00084437,Fuel,2024-12-21,393.46
FUEL00100698,DLV00081356,Fuel,2024-11-10,687.85
FUEL00101608,DLV00081931,Fuel,2024-11-16,341.15
FUEL00102027,DLV00083666,Fuel,2024-12-08,468.35
FUEL00102094,DLV00084631,Fuel,2024-12-21,501.81
FUEL00102245,DLV00083320,Fuel,2024-12-06,384.27
FUEL00102430,DLV00081837,Fuel,2024-11-17,496.75
FUEL00102710,DLV00082987,Fuel,2024-12-02,662.46
FUEL00102959,DLV00082049,Fuel,2024-11-19,393.9
FUEL00103230,DLV00082829,Fuel,2024-11-29,312.99
FUEL00103699,DLV00081915,Fuel,2024-11-15,390.02
FUEL00104354,DLV00084134,Fuel,2024-12-15,354.48
FUEL00104371,DLV00082959,Fuel,2024-11-29,671.01
FUEL00105072,DLV00083703,Fuel,2024-12-10,330.85
FUEL00105439,DLV00081104,Fuel,2024-11-05,621.32
FUEL00105494,DLV00085185,Fuel,2024-12-31,506.6
FUEL00105531,DLV00083894,Fuel,2024-12-11,670.57
FUEL00106168,DLV00082140,Fuel,2024-11-18,445
FUEL00106335,DLV00084627,Fuel,2024-12-21,565.61
FUEL00106984,DLV00084764,Fuel,2024-12-25,554.75
FUEL00107029,DLV00083808,Fuel,2024-12-10,597.59
FUEL00107645,DLV00080864,Fuel,2024-11-03,443.54
FUEL00108077,DLV00084926,Fuel,2024-12-27,619.85
FUEL00108230,DLV00085080,Fuel,2024-12-29,241.51
FUEL00108282,DLV00081832,Fuel,2024-11-15,371.9
FUEL00108289,DLV00083208,Fuel,2024-12-03,326.96
FUEL00108316,DLV00082070,Fuel,2024-11-18,604.4
FUEL00108980,DLV00081082,Fuel,2024-11-05,219.89
FUEL00109123,DLV00083959,Fuel,2024-12-14,377.22
FUEL00109207,DLV00083721,Fuel,2024-12-10,406.8
FUEL00109815,DLV00085188,Fuel,2024-12-29,764.2
FUEL00109823,DLV00085185,Fuel,2024-12-30,207.39
FUEL00110256,DLV00083812,Fuel,2024-12-11,614.35
FUEL00110381,DLV00084322,Fuel,2024-12-17,430.62
FUEL00110491,DLV00083903,Fuel,2024-12-12,236.55
FUEL00110686,DLV00082863,Fuel,2024-11-30,598.78
FUEL00110948,DLV00085122,Fuel,2024-12-30,271.75
FUEL00111032,DLV00081387,Fuel,2024-11-11,568.38
FUEL00111137,DLV00080957,Fuel,2024-11-04,576.83
FUEL00112115,DLV00082160,Fuel,2024-11-20,322.85
FUEL00112346,DLV00081000,Fuel,2024-11-04,187.48
FUEL00112858,DLV00082097,Fuel,2024-11-18,409.13
FUEL00113047,DLV00081794,Fuel,2024-11-16,551.44
FUEL00113470,DLV00084201,Fuel,2024-12-15,460.95
FUEL00113627,DLV00081000,Fuel,2024-11-05,189.78
FUEL00114077,DLV00082231,Fuel,2024-11-21,217.25
FUEL00114618,DLV00080704,Fuel,2024-11-02,244.34
FUEL00114640,DLV00083903,Fuel,2024-12-13,507.1
FUEL00114887,DLV00081001,Fuel,2024-11-06,434.26
FUEL00114956,DLV00084591,Fuel,2024-12-23,169.67
FUEL00116740,DLV00085309,Fuel,2024-12-30,290.12
FUEL00117152,DLV00081736,Fuel,2024-11-13,682.18
FUEL00117837,DLV00081219,Fuel,2024-11-07,640.14
FUEL00117844,DLV00083903,Fuel,2024-12-13,660.26
FUEL00118157,DLV00083404,Fuel,2024-12-05,531.29
FUEL00118816,DLV00083385,Fuel,2024-12-05,313.95
FUEL00119404,DLV00084735,Fuel,2024-12-23,203.5
FUEL00119405,DLV00083477,Fuel,2024-12-08,635.23
FUEL00119734,DLV00083340,Fuel,2024-12-04,352.33
FUEL00119935,DLV00082777,Fuel,2024-11-29,329.21
FUEL00120169,DLV00081764,Fuel,2024-11-15,606.31
FUEL00120527,DLV00084985,Fuel,2024-12-27,599.26
FUEL00121038,DLV00085188,Fuel,2024-12-30,678.09
FUEL00121328,DLV00083393,Fuel,2024-12-07,320.63
FUEL00121474,DLV00084714,Fuel,2024-12-24,285.66
FUEL00122071,DLV00081761,Fuel,2024-11-16,659.06
FUEL00122235,DLV00081688,Fuel,2024-11-15,457.89
FUEL00122397,DLV00082167,Fuel,2024-11-19,336.26
FUEL00122678,DLV00085251,Fuel,2025-01-01,317.9
FUEL00122725,DLV00081323,Fuel,2024-11-10,489.85
FUEL00122734,DLV00083215,Fuel,2024-12-04,422.58
FUEL00123103,DLV00084627,Fuel,2024-12-21,350.59
FUEL00123154,DLV00084934,Fuel,2024-12-27,217.79
FUEL00123252,DLV00084347,Fuel,2024-12-17,631.99
FUEL00123641,DLV00081428,Fuel,2024-11-11,260.23
FUEL00123930,DLV00085251,Fuel,2024-12-30,292.63
FUEL00124071,DLV00081503,Fuel,2024-11-12,334.74
FUEL00124653,DLV00082236,Fuel,2024-11-22,434.46
FUEL00124838,DLV00083051,Fuel,2024-11-30,459.99
FUEL00124976,DLV00082070,Fuel,2024-11-19,305.58
FUEL00125135,DLV00081483,Fuel,2024-11-12,285.61
FUEL00125190,DLV00082336,Fuel,2024-11-22,314.18
FUEL00125267,DLV00083529,Fuel,2024-12-09,210.66
FUEL00125339,DLV00082166,Fuel,2024-11-19,310.92
FUEL00126005,DLV00084591,Fuel,2024-12-23,513.24
FUEL00126676,DLV00085028,Fuel,2024-12-29,586
FUEL00126708,DLV00083368,Fuel,2024-12-05,703.95
FUEL00127260,DLV00082386,Fuel,2024-11-22,450.19
FUEL00127460,DLV00081000,Fuel,2024-11-06,325.43
FUEL00127536,DLV00084287,Fuel,2024-12-17,416.71
FUEL00127575,DLV00081646,Fuel,2024-11-13,211.58
FUEL00127667,DLV00084697,Fuel,2024-12-24,495.02
FUEL00128036,DLV00083638,Fuel,2024-12-09,211.94
FUEL00128146,DLV00082100,Fuel,2024-11-18,256.6
FUEL00128986,DLV00084766,Fuel,2024-12-25,323.3
FUEL00129063,DLV00083505,Fuel,2024-12-06,273.02
FUEL00129232,DLV00082768,Fuel,2024-11-27,382.62
FUEL00129371,DLV00081195,Fuel,2024-11-09,292.33
FUEL00129574,DLV00080957,Fuel,2024-11-04,474.24
