order_id,customer_id,order_date,order_status,origin_city,destination_city
ORD00081011,CUST00015,2024-11-04,Completed,Memphis,Los Angeles
ORD00081016,CUST00108,2024-11-04,Completed,Chicago,Portland
ORD00081017,CUST00016,2024-11-04,Completed,Houston,Memphis
ORD00081018,CUST00153,2024-11-04,Completed,Miami,Denver
ORD00081020,CUST00015,2024-11-04,Completed,Phoenix,Denver
ORD00081022,CUST00126,2024-11-04,Completed,Portland,Detroit
ORD00081032,CUST00109,2024-11-05,Completed,New York,Columbus
ORD00081035,CUST00179,2024-11-05,Completed,Philadelphia,Indianapolis
ORD00081040,CUST00109,2024-11-05,Completed,Charlotte,Memphis
ORD00081042,CUST00016,2024-11-05,Completed,Phoenix,Philadelphia
ORD00081044,CUST00049,2024-11-05,Completed,Miami,Dallas
ORD00081045,CUST00109,2024-11-05,Completed,Columbus,Philadelphia
ORD00081046,CUST00050,2024-11-05,Completed,Miami,Philadelphia
ORD00081047,CUST00111,2024-11-05,Completed,Kansas City,Miami
ORD00081049,CUST00015,2024-11-05,Completed,Columbus,Philadelphia
ORD00081051,CUST00122,2024-11-05,Completed,Las Vegas,Dallas
ORD00081072,CUST00126,2024-11-05,Completed,Philadelphia,Minneapolis
ORD00081073,CUST00158,2024-11-05,Completed,Phoenix,Denver
ORD00081078,CUST00069,2024-11-05,Completed,Miami,Seattle
ORD00081079,CUST00114,2024-11-05,Completed,Phoenix,Denver
ORD00081080,CUST00095,2024-11-05,Completed,Columbus,Portland
ORD00081082,CUST00016,2024-11-05,Completed,Columbus,Los Angeles
ORD00081083,CUST00015,2024-11-05,Completed,Dallas,Denver
ORD00081086,CUST00040,2024-11-05,Completed,Houston,Portland
ORD00081091,CUST00035,2024-11-05,Completed,Columbus,Portland
ORD00081095,CUST00108,2024-11-05,Completed,Portland,Detroit
ORD00081099,CUST00111,2024-11-05,Completed,Kansas City,Atlanta
ORD00081102,CUST00035,2024-11-05,Completed,Las Vegas,New York
ORD00081104,CUST00158,2024-11-05,Completed,Phoenix,Kansas City
ORD00081106,CUST00184,2024-11-05,Completed,Houston,Seattle
ORD00081107,CUST00180,2024-11-05,Completed,Denver,Kansas City
ORD00081117,CUST00183,2024-11-06,Completed,Chicago,Las Vegas
ORD00081118,CUST00165,2024-11-06,Completed,Philadelphia,Indianapolis
ORD00081123,CUST00015,2024-11-06,Completed,Miami,Philadelphia
ORD00081124,CUST00004,2024-11-06,Completed,Minneapolis,Houston
ORD00081125,CUST00007,2024-11-06,Completed,New York,Columbus
ORD00081126,CUST00028,2024-11-06,Completed,Portland,Columbus
ORD00081131,CUST00153,2024-11-06,Completed,Portland,Seattle
ORD00081142,CUST00007,2024-11-06,Completed,Philadelphia,Indianapolis
ORD00081147,CUST00098,2024-11-06,Completed,Charlotte,Seattle
ORD00081149,CUST00052,2024-11-06,Completed,Chicago,Portland
ORD00081163,CUST00006,2024-11-06,Completed,Atlanta,Chicago
ORD00081166,CUST00153,2024-11-06,Completed,Phoenix,Denver
ORD00081167,CUST00069,2024-11-06,Completed,Charlotte,Denver
ORD00081173,CUST00040,2024-11-06,Completed,Columbus,Philadelphia
ORD00081176,CUST00052,2024-11-06,Completed,Columbus,Kansas City
ORD00081181,CUST00109,2024-11-06,Completed,Charlotte,Memphis
ORD00081182,CUST00065,2024-11-06,Completed,Philadelphia,New York
ORD00081184,CUST00177,2024-11-06,Completed,Seattle,Indianapolis
ORD00081192,CUST00108,2024-11-07,Completed,Chicago,Los Angeles
ORD00081194,CUST00116,2024-11-07,Completed,Portland,Detroit
ORD00081195,CUST00177,2024-11-07,Completed,Phoenix,Kansas City
ORD00081203,CUST00153,2024-11-07,Completed,Charlotte,Seattle
ORD00081208,CUST00126,2024-11-07,Completed,Las Vegas,New York
ORD00081212,CUST00042,2024-11-07,Completed,Philadelphia,Seattle
ORD00081216,CUST00191,2024-11-07,Completed,Houston,Seattle
ORD00081219,CUST00177,2024-11-07,Completed,Seattle,Indianapolis
ORD00081220,CUST00153,2024-11-07,Completed,Portland,Detroit
ORD00081221,CUST00191,2024-11-07,Completed,Dallas,Denver
ORD00081223,CUST00116,2024-11-07,Completed,Portland,Seattle
ORD00081224,CUST00108,2024-11-07,Completed,Philadelphia,Minneapolis
ORD00081232,CUST00042,2024-11-07,Completed,Kansas City,Portland
ORD00081234,CUST00010,2024-11-07,Completed,Columbus,Los Angeles
ORD00081247,CUST00070,2024-11-07,Completed,Portland,Seattle
ORD00081251,CUST00109,2024-11-07,Completed,Miami,Seattle
ORD00081252,CUST00052,2024-11-07,Completed,Detroit,Houston
ORD00081255,CUST00180,2024-11-07,Completed,Seattle,Indianapolis
ORD00081260,CUST00028,2024-11-07,Completed,Houston,Memphis
ORD00081263,CUST00179,2024-11-07,Completed,Philadelphia,Indianapolis
ORD00081271,CUST00116,2024-11-08,Completed,Charlotte,Memphis
ORD00081278,CUST00109,2024-11-08,Completed,Dallas,New York
ORD00081282,CUST00179,2024-11-08,Completed,Kansas City,Indianapolis
ORD00081285,CUST00180,2024-11-08,Completed,Miami,Seattle
ORD00081291,CUST00166,2024-11-08,Completed,Kansas City,Miami
ORD00081294,CUST00065,2024-11-08,Completed,Dallas,Denver
ORD00081296,CUST00008,2024-11-08,Completed,Seattle,Houston
ORD00081298,CUST00111,2024-11-08,Completed,Phoenix,Philadelphia
ORD00081305,CUST00049,2024-11-08,Completed,Kansas City,Miami
ORD00081308,CUST00177,2024-11-08,Completed,Las Vegas,Kansas City
ORD00081311,CUST00122,2024-11-08,Completed,Las Vegas,Los Angeles
ORD00081316,CUST00109,2024-11-08,Completed,Kansas City,Portland
ORD00081318,CUST00122,2024-11-08,Completed,Miami,Dallas
ORD00081319,CUST00180,2024-11-08,Completed,Portland,Seattle
ORD00081323,CUST00028,2024-11-08,Completed,Atlanta,Miami
ORD00081326,CUST00042,2024-11-08,Completed,Dallas,New York
ORD00081327,CUST00122,2024-11-08,Completed,Atlanta,Miami
ORD00081343,CUST00109,2024-11-09,Completed,Las Vegas,Dallas
ORD00081348,CUST00004,2024-11-09,Completed,Minneapolis,Houston
ORD00081351,CUST00100,2024-11-09,Completed,New York,Columbus
ORD00081356,CUST00042,2024-11-09,Completed,Chicago,Portland
ORD00081357,CUST00050,2024-11-09,Completed,Houston,Memphis
ORD00081361,CUST00100,2024-11-09,Completed,New York,Columbus
ORD00081377,CUST00122,2024-11-09,Completed,Kansas City,Charlotte
ORD00081379,CUST00098,2024-11-09,Completed,Las Vegas,New York
ORD00081381,CUST00172,2024-11-09,Completed,Seattle,Indianapolis
ORD00081387,CUST00116,2024-11-09,Completed,Kansas City,Atlanta
ORD00081389,CUST00179,2024-11-09,Completed,Columbus,Minneapolis
ORD00081391,CUST00007,2024-11-09,Completed,Las Vegas,Los Angeles
ORD00081393,CUST00191,2024-11-09,Completed,Kansas City,Indianapolis
ORD00081394,CUST00010,2024-11-09,Completed,Kansas City,Indianapolis
ORD00081399,CUST00183,2024-11-09,Completed,Las Vegas,Kansas City
ORD00081406,CUST00166,2024-11-09,Completed,Portland,Columbus
ORD00081408,CUST00116,2024-11-09,Completed,Seattle,Charlotte
ORD00081409,CUST00050,2024-11-09,Completed,New York,Philadelphia
ORD00081411,CUST00172,2024-11-10,Completed,Chicago,Las Vegas
ORD00081419,CUST00109,2024-11-10,Completed,New York,Columbus
ORD00081428,CUST00154,2024-11-10,Completed,Houston,Portland
ORD00081429,CUST00042,2024-11-10,Completed,Philadelphia,New York
ORD00081443,CUST00098,2024-11-10,Completed,Chicago,Los Angeles
ORD00081447,CUST00042,2024-11-10,Completed,Philadelphia,Minneapolis
ORD00081448,CUST00177,2024-11-10,Completed,Phoenix,Denver
ORD00081449,CUST00183,2024-11-10,Completed,Seattle,Houston
ORD00081453,CUST00015,2024-11-10,Completed,Kansas City,Miami
ORD00081458,CUST00007,2024-11-10,Completed,Houston,Seattle
ORD00081462,CUST00186,2024-11-10,Completed,Portland,Detroit
ORD00081467,CUST00100,2024-11-10,Completed,Memphis,Los Angeles
ORD00081468,CUST00098,2024-11-10,Completed,Memphis,Minneapolis
ORD00081471,CUST00184,2024-11-10,Completed,Charlotte,Seattle
ORD00081472,CUST00050,2024-11-10,Completed,Columbus,Portland
ORD00081483,CUST00122,2024-11-10,Completed,Atlanta,Chicago
ORD00081491,CUST00010,2024-11-11,Completed,Houston,Seattle
ORD00081495,CUST00095,2024-11-11,Completed,Portland,Seattle
ORD00081496,CUST00028,2024-11-11,Completed,Dallas,New York
ORD00081503,CUST00179,2024-11-11,Completed,Charlotte,Memphis
ORD00081511,CUST00050,2024-11-11,Completed,Minneapolis,Houston
ORD00081519,CUST00158,2024-11-11,Completed,Philadelphia,New York
ORD00081520,CUST00069,2024-11-11,Completed,Chicago,Las Vegas
ORD00081524,CUST00165,2024-11-11,Completed,Houston,Seattle
ORD00081534,CUST00007,2024-11-11,Completed,Miami,Dallas
ORD00081545,CUST00154,2024-11-11,Completed,Memphis,Los Angeles
ORD00081553,CUST00153,2024-11-11,Completed,Charlotte,Seattle
ORD00081556,CUST00191,2024-11-11,Completed,Seattle,Charlotte
ORD00081558,CUST00006,2024-11-11,Completed,Columbus,Minneapolis
ORD00081561,CUST00016,2024-11-11,Completed,Kansas City,Miami
ORD00081566,CUST00122,2024-11-11,Completed,Seattle,Indianapolis
ORD00081575,CUST00015,2024-11-12,Completed,Columbus,Portland
ORD00081576,CUST00010,2024-11-12,Completed,Dallas,Denver
ORD00081585,CUST00040,2024-11-12,Completed,Detroit,Houston
ORD00081590,CUST00100,2024-11-12,Completed,Las Vegas,Kansas City
ORD00081592,CUST00111,2024-11-12,Completed,Charlotte,Memphis
ORD00081601,CUST00006,2024-11-12,Completed,Las Vegas,Los Angeles
ORD00081603,CUST00100,2024-11-12,Completed,Chicago,Charlotte
ORD00081609,CUST00154,2024-11-12,Completed,Charlotte,Portland
ORD00081614,CUST00070,2024-11-12,Completed,Columbus,Minneapolis
ORD00081621,CUST00122,2024-11-12,Completed,New York,Philadelphia
ORD00081624,CUST00116,2024-11-12,Completed,Phoenix,Denver
ORD00081630,CUST00108,2024-11-12,Completed,Kansas City,Atlanta
ORD00081633,CUST00122,2024-11-12,Completed,Atlanta,Chicago
ORD00081634,CUST00042,2024-11-12,Completed,Atlanta,Miami
ORD00081643,CUST00184,2024-11-12,Completed,Dallas,New York
ORD00081644,CUST00109,2024-11-12,Completed,Miami,Dallas
ORD00081646,CUST00114,2024-11-12,Completed,Phoenix,Denver
ORD00081648,CUST00070,2024-11-12,Completed,Kansas City,Miami
ORD00081651,CUST00111,2024-11-12,Completed,Kansas City,Atlanta
ORD00081668,CUST00040,2024-11-13,Completed,Las Vegas,New York
ORD00081677,CUST00172,2024-11-13,Completed,Memphis,Los Angeles
ORD00081679,CUST00007,2024-11-13,Completed,Miami,Seattle
ORD00081688,CUST00015,2024-11-13,Completed,Detroit,Houston
ORD00081689,CUST00186,2024-11-13,Completed,Portland,Detroit
ORD00081696,CUST00158,2024-11-13,Completed,Phoenix,Kansas City
ORD00081698,CUST00070,2024-11-13,Completed,Las Vegas,New York
ORD00081699,CUST00098,2024-11-13,Completed,Miami,Denver
ORD00081700,CUST00180,2024-11-13,Completed,Kansas City,Portland
ORD00081704,CUST00010,2024-11-13,Completed,Columbus,Minneapolis
ORD00081713,CUST00006,2024-11-13,Completed,Detroit,Houston
ORD00081720,CUST00007,2024-11-13,Completed,Philadelphia,Indianapolis
ORD00081735,CUST00122,2024-11-13,Completed,Memphis,Los Angeles
ORD00081736,CUST00158,2024-11-13,Completed,New York,Philadelphia
ORD00081741,CUST00180,2024-11-13,Completed,Phoenix,Denver
ORD00081761,CUST00109,2024-11-14,Completed,Atlanta,Miami
ORD00081764,CUST00111,2024-11-14,Completed,Portland,Seattle
ORD00081765,CUST00049,2024-11-14,Completed,Memphis,Minneapolis
ORD00081769,CUST00109,2024-11-14,Completed,Chicago,Los Angeles
ORD00081773,CUST00186,2024-11-14,Completed,Columbus,Philadelphia
ORD00081776,CUST00183,2024-11-14,Completed,Seattle,Houston
ORD00081779,CUST00016,2024-11-14,Completed,Memphis,Minneapolis
ORD00081785,CUST00052,2024-11-14,Completed,Columbus,Kansas City
ORD00081789,CUST00010,2024-11-14,Completed,Phoenix,Kansas City
ORD00081794,CUST00050,2024-11-14,Completed,Dallas,Denver
ORD00081800,CUST00165,2024-11-14,Completed,Miami,Philadelphia
ORD00081814,CUST00165,2024-11-14,Completed,Kansas City,Portland
ORD00081816,CUST00008,2024-11-14,Completed,Charlotte,Seattle
ORD00081820,CUST00122,2024-11-14,Completed,Chicago,Charlotte
ORD00081824,CUST00183,2024-11-14,Completed,Phoenix,Kansas City
ORD00081832,CUST00184,2024-11-14,Completed,Las Vegas,Dallas
ORD00081834,CUST00153,2024-11-15,Completed,Philadelphia,Minneapolis
ORD00081837,CUST00108,2024-11-15,Completed,Chicago,Las Vegas
ORD00081840,CUST00166,2024-11-15,Completed,Atlanta,Miami
ORD00081848,CUST00180,2024-11-15,Completed,Miami,Dallas
ORD00081857,CUST00122,2024-11-15,Completed,Columbus,Philadelphia
ORD00081864,CUST00186,2024-11-15,Completed,Philadelphia,Indianapolis
ORD00081867,CUST00109,2024-11-15,Completed,Philadelphia,Indianapolis
ORD00081873,CUST00109,2024-11-15,Completed,Columbus,Kansas City
ORD00081874,CUST00052,2024-11-15,Completed,Seattle,Indianapolis
ORD00081883,CUST00116,2024-11-15,Completed,Chicago,Los Angeles
ORD00081885,CUST00100,2024-11-15,Completed,Philadelphia,Indianapolis
ORD00081899,CUST00179,2024-11-15,Completed,Las Vegas,New York
ORD00081901,CUST00122,2024-11-15,Completed,Minneapolis,Atlanta
ORD00081905,CUST00186,2024-11-15,Completed,Dallas,New York
ORD00081907,CUST00098,2024-11-15,Completed,Philadelphia,Minneapolis
ORD00081911,CUST00028,2024-11-15,Completed,Charlotte,Portland
ORD00081915,CUST00177,2024-11-15,Completed,Chicago,Portland
ORD00081923,CUST00109,2024-11-15,Completed,Phoenix,Denver
ORD00081928,CUST00006,2024-11-15,Completed,Portland,Seattle
ORD00081929,CUST00006,2024-11-15,Completed,Miami,Philadelphia
ORD00081931,CUST00166,2024-11-16,Completed,Columbus,Kansas City
ORD00081938,CUST00179,2024-11-16,Completed,Phoenix,Philadelphia
ORD00081939,CUST00052,2024-11-16,Completed,Chicago,Las Vegas
ORD00081947,CUST00153,2024-11-16,Completed,Chicago,Las Vegas
ORD00081953,CUST00069,2024-11-16,Completed,Detroit,Houston
ORD00081960,CUST00108,2024-11-16,Completed,Columbus,Philadelphia
ORD00081965,CUST00191,2024-11-16,Completed,Columbus,Minneapolis
ORD00081972,CUST00122,2024-11-16,Completed,Seattle,Indianapolis
ORD00081977,CUST00116,2024-11-16,Completed,Atlanta,Miami
ORD00081985,CUST00010,2024-11-16,Completed,Philadelphia,New York
ORD00081988,CUST00028,2024-11-16,Completed,Atlanta,Chicago
ORD00081990,CUST00007,2024-11-16,Completed,Houston,Seattle
ORD00081992,CUST00153,2024-11-16,Completed,Houston,Portland
ORD00082007,CUST00172,2024-11-17,Completed,Portland,Detroit
ORD00082008,CUST00126,2024-11-17,Completed,Atlanta,Chicago
ORD00082012,CUST00111,2024-11-17,Completed,Seattle,Charlotte
ORD00082021,CUST00180,2024-11-17,Completed,Philadelphia,Indianapolis
ORD00082024,CUST00191,2024-11-17,Completed,Charlotte,Seattle
ORD00082026,CUST00158,2024-11-17,Completed,Columbus,Portland
ORD00082030,CUST00010,2024-11-17,Completed,Las Vegas,Dallas
ORD00082043,CUST00126,2024-11-17,Completed,Charlotte,Memphis
ORD00082046,CUST00108,2024-11-17,Completed,Portland,Columbus
ORD00082049,CUST00065,2024-11-17,Completed,Kansas City,Portland
ORD00082055,CUST00158,2024-11-17,Completed,Columbus,Portland
ORD00082057,CUST00006,2024-11-17,Completed,Atlanta,Chicago
ORD00082064,CUST00028,2024-11-17,Completed,Kansas City,Portland
ORD00082067,CUST00065,2024-11-17,Completed,Columbus,Philadelphia
ORD00082068,CUST00191,2024-11-17,Completed,Charlotte,Portland
ORD00082070,CUST00179,2024-11-17,Completed,Phoenix,Philadelphia
ORD00082074,CUST00015,2024-11-17,Completed,Philadelphia,New York
ORD00082086,CUST00010,2024-11-18,Completed,Kansas City,Indianapolis
ORD00082097,CUST00049,2024-11-18,Completed,New York,Columbus
ORD00082100,CUST00166,2024-11-18,Completed,Memphis,Minneapolis
ORD00082107,CUST00016,2024-11-18,Completed,Kansas City,Miami
ORD00082109,CUST00065,2024-11-18,Completed,Columbus,Portland
ORD00082111,CUST00052,2024-11-18,Completed,Seattle,Houston
ORD00082122,CUST00004,2024-11-18,Completed,Charlotte,Denver
ORD00082124,CUST00116,2024-11-18,Completed,Dallas,New York
ORD00082125,CUST00186,2024-11-18,Completed,Philadelphia,Minneapolis
ORD00082126,CUST00040,2024-11-18,Completed,Minneapolis,Houston
ORD00082134,CUST00126,2024-11-18,Completed,Miami,Denver
ORD00082140,CUST00069,2024-11-18,Completed,Houston,Detroit
ORD00082147,CUST00114,2024-11-18,Completed,Charlotte,Memphis
ORD00082160,CUST00158,2024-11-19,Completed,Dallas,Denver
ORD00082161,CUST00098,2024-11-19,Completed,Portland,Columbus
ORD00082162,CUST00109,2024-11-19,Completed,Kansas City,Miami
ORD00082163,CUST00049,2024-11-19,Completed,Kansas City,Portland
ORD00082166,CUST00006,2024-11-19,Completed,Houston,Detroit
ORD00082167,CUST00177,2024-11-19,Completed,Detroit,Houston
ORD00082169,CUST00007,2024-11-19,Completed,New York,Columbus
ORD00082172,CUST00153,2024-11-19,Completed,Houston,Seattle
ORD00082183,CUST00049,2024-11-19,Completed,Charlotte,Portland
ORD00082189,CUST00108,2024-11-19,Completed,Las Vegas,Kansas City
ORD00082191,CUST00108,2024-11-19,Completed,Houston,Seattle
ORD00082199,CUST00052,2024-11-19,Completed,Chicago,Los Angeles
ORD00082207,CUST00154,2024-11-19,Completed,Columbus,Minneapolis
ORD00082208,CUST00098,2024-11-19,Completed,Kansas City,Portland
ORD00082211,CUST00049,2024-11-19,Completed,Las Vegas,Kansas City
ORD00082215,CUST00158,2024-11-19,Completed,Las Vegas,Los Angeles
ORD00082217,CUST00070,2024-11-19,Completed,Columbus,Minneapolis
ORD00082220,CUST00100,2024-11-19,Completed,Denver,Kansas City
ORD00082231,CUST00065,2024-11-20,Completed,Portland,Detroit
ORD00082234,CUST00095,2024-11-20,Completed,Philadelphia,New York
ORD00082236,CUST00050,2024-11-20,Completed,Columbus,Portland
ORD00082249,CUST00095,2024-11-20,Completed,Columbus,Kansas City
ORD00082264,CUST00052,2024-11-20,Completed,Chicago,Las Vegas
ORD00082270,CUST00126,2024-11-20,Completed,Kansas City,Portland
ORD00082274,CUST00052,2024-11-20,Completed,Charlotte,Seattle
ORD00082278,CUST00186,2024-11-20,Completed,Charlotte,Denver
ORD00082284,CUST00183,2024-11-20,Completed,Miami,Denver
ORD00082286,CUST00098,2024-11-20,Completed,Seattle,Charlotte
ORD00082295,CUST00122,2024-11-20,Completed,New York,Philadelphia
ORD00082299,CUST00042,2024-11-20,Completed,Chicago,Los Angeles
ORD00082303,CUST00191,2024-11-20,Completed,Atlanta,Chicago
ORD00082306,CUST00070,2024-11-20,Completed,Memphis,Los Angeles
ORD00082309,CUST00109,2024-11-21,Completed,Charlotte,Portland
ORD00082315,CUST00095,2024-11-21,Completed,Charlotte,Denver
ORD00082321,CUST00186,2024-11-21,Completed,Columbus,Philadelphia
ORD00082334,CUST00095,2024-11-21,Completed,Dallas,New York
ORD00082335,CUST00095,2024-11-21,Completed,Kansas City,Charlotte
ORD00082336,CUST00015,2024-11-21,Completed,Charlotte,Portland
ORD00082341,CUST00015,2024-11-21,Completed,Charlotte,Portland
ORD00082343,CUST00028,2024-11-21,Completed,Atlanta,Miami
ORD00082345,CUST00052,2024-11-21,Completed,Atlanta,Miami
ORD00082355,CUST00028,2024-11-21,Completed,Chicago,Los Angeles
ORD00082359,CUST00191,2024-11-21,Completed,Kansas City,Atlanta
ORD00082365,CUST00098,2024-11-21,Completed,Kansas City,Atlanta
ORD00082376,CUST00010,2024-11-21,Completed,Dallas,Denver
ORD00082379,CUST00007,2024-11-21,Completed,Dallas,Indianapolis
ORD00082384,CUST00172,2024-11-22,Completed,Phoenix,Denver
ORD00082386,CUST00006,2024-11-22,Completed,Charlotte,Memphis
ORD00082389,CUST00010,2024-11-22,Completed,Kansas City,Miami
ORD00082418,CUST00069,2024-11-22,Completed,New York,Columbus
ORD00082448,CUST00166,2024-11-22,Completed,Las Vegas,New York
ORD00082457,CUST00010,2024-11-23,Completed,Phoenix,Kansas City
ORD00082464,CUST00006,2024-11-23,Completed,Minneapolis,Los Angeles
ORD00082476,CUST00116,2024-11-23,Completed,Dallas,New York
ORD00082479,CUST00109,2024-11-23,Completed,Houston,Seattle
ORD00082483,CUST00069,2024-11-23,Completed,Minneapolis,Houston
ORD00082490,CUST00098,2024-11-23,Completed,Charlotte,Portland
ORD00082493,CUST00126,2024-11-23,Completed,Philadelphia,Indianapolis
ORD00082497,CUST00109,2024-11-23,Completed,Philadelphia,New York
ORD00082505,CUST00111,2024-11-23,Completed,Columbus,Philadelphia
ORD00082515,CUST00108,2024-11-23,Completed,Portland,Detroit
ORD00082519,CUST00114,2024-11-23,Completed,Atlanta,Miami
ORD00082526,CUST00165,2024-11-23,Completed,Houston,Seattle
ORD00082531,CUST00191,2024-11-23,Completed,Memphis,Minneapolis
ORD00082534,CUST00004,2024-11-23,Completed,Las Vegas,Dallas
ORD00082536,CUST00069,2024-11-24,Completed,Houston,Seattle
ORD00082543,CUST00108,2024-11-24,Completed,New York,Philadelphia
ORD00082546,CUST00180,2024-11-24,Completed,Charlotte,Memphis
ORD00082552,CUST00158,2024-11-24,Completed,Atlanta,Chicago
ORD00082555,CUST00108,2024-11-24,Completed,Columbus,Minneapolis
ORD00082556,CUST00179,2024-11-24,Completed,Seattle,Houston
ORD00082561,CUST00191,2024-11-24,Completed,Miami,Denver
ORD00082562,CUST00114,2024-11-24,Completed,Houston,Seattle
ORD00082563,CUST00177,2024-11-24,Completed,Minneapolis,Los Angeles
ORD00082578,CUST00042,2024-11-24,Completed,Philadelphia,Minneapolis
ORD00082582,CUST00111,2024-11-24,Completed,Miami,Philadelphia
ORD00082588,CUST00004,2024-11-24,Completed,Minneapolis,Los Angeles
ORD00082593,CUST00065,2024-11-24,Completed,Kansas City,Charlotte
ORD00082598,CUST00177,2024-11-24,Completed,Kansas City,Charlotte
ORD00082599,CUST00172,2024-11-24,Completed,Minneapolis,Houston
ORD00082600,CUST00095,2024-11-24,Completed,Phoenix,Denver
ORD00082606,CUST00166,2024-11-24,Completed,Dallas,Indianapolis
ORD00082614,CUST00008,2024-11-25,Completed,Miami,Dallas
ORD00082620,CUST00183,2024-11-25,Completed,New York,Philadelphia
ORD00082622,CUST00116,2024-11-25,Completed,Philadelphia,Indianapolis
ORD00082623,CUST00070,2024-11-25,Completed,Columbus,Philadelphia
ORD00082628,CUST00035,2024-11-25,Completed,Columbus,Philadelphia
ORD00082635,CUST00186,2024-11-25,Completed,Philadelphia,Indianapolis
ORD00082636,CUST00111,2024-11-25,Completed,Memphis,Minneapolis
ORD00082661,CUST00006,2024-11-25,Completed,Las Vegas,Dallas
ORD00082670,CUST00016,2024-11-25,Completed,Las Vegas,Dallas
ORD00082672,CUST00007,2024-11-25,Completed,Denver,Kansas City
ORD00082680,CUST00015,2024-11-26,Completed,Las Vegas,Dallas
ORD00082689,CUST00126,2024-11-26,Completed,Miami,Dallas
ORD00082699,CUST00065,2024-11-26,Completed,Portland,Columbus
ORD00082708,CUST00015,2024-11-26,Completed,Phoenix,Denver
ORD00082710,CUST00028,2024-11-26,Completed,Houston,Portland
ORD00082712,CUST00184,2024-11-26,Completed,Columbus,Minneapolis
ORD00082720,CUST00158,2024-11-26,Completed,Kansas City,Portland
