delivery_id,order_id,truck_id,delivery_date
DLV00081394,ORD00081394,TRK00041,2024-11-09
DLV00081419,ORD00081419,TRK00011,2024-11-10
DLV00081428,ORD00081428,TRK00013,2024-11-10
DLV00081447,ORD00081447,TRK00116,2024-11-10
DLV00081448,ORD00081448,TRK00048,2024-11-10
DLV00081458,ORD00081458,TRK00044,2024-11-10
DLV00081462,ORD00081462,TRK00054,2024-11-10
DLV00081483,ORD00081483,TRK00106,2024-11-10
DLV00081491,ORD00081491,TRK00015,2024-11-11
DLV00081503,ORD00081503,TRK00085,2024-11-11
DLV00081524,ORD00081524,TRK00048,2024-11-11
DLV00081553,ORD00081553,TRK00116,2024-11-11
DLV00081566,ORD00081566,TRK00101,2024-11-11
DLV00081575,ORD00081575,TRK00048,2024-11-12
DLV00081576,ORD00081576,TRK00076,2024-11-12
DLV00081590,ORD00081590,TRK00031,2024-11-12
DLV00081603,ORD00081603,TRK00048,2024-11-12
DLV00081621,ORD00081621,TRK00055,2024-11-12
DLV00081634,ORD00081634,TRK00006,2024-11-12
DLV00081643,ORD00081643,TRK00050,2024-11-12
DLV00081646,ORD00081646,TRK00055,2024-11-12
DLV00081651,ORD00081651,TRK00083,2024-11-12
DLV00081677,ORD00081677,TRK00044,2024-11-13
DLV00081688,ORD00081688,TRK00041,2024-11-13
DLV00081689,ORD00081689,TRK00112,2024-11-13
DLV00081699,ORD00081699,TRK00101,2024-11-13
DLV00081713,ORD00081713,TRK00110,2024-11-13
DLV00081735,ORD00081735,TRK00038,2024-11-13
DLV00081736,ORD00081736,TRK00006,2024-11-13
DLV00081741,ORD00081741,TRK00062,2024-11-13
DLV00081761,ORD00081761,TRK00031,2024-11-14
DLV00081764,ORD00081764,TRK00062,2024-11-14
DLV00081773,ORD00081773,TRK00107,2024-11-14
DLV00081789,ORD00081789,TRK00044,2024-11-14
DLV00081794,ORD00081794,TRK00031,2024-11-14
DLV00081832,ORD00081832,TRK00011,2024-11-14
DLV00081834,ORD00081834,TRK00015,2024-11-15
DLV00081837,ORD00081837,TRK00113,2024-11-15
DLV00081848,ORD00081848,TRK00079,2024-11-15
DLV00081874,ORD00081874,TRK00106,2024-11-15
DLV00081915,ORD00081915,TRK00092,2024-11-15
DLV00081929,ORD00081929,TRK00083,2024-11-15
DLV00081931,ORD00081931,TRK00062,2024-11-16
DLV00081960,ORD00081960,TRK00012,2024-11-16
DLV00081965,ORD00081965,TRK00116,2024-11-16
DLV00081972,ORD00081972,TRK00014,2024-11-16
DLV00081985,ORD00081985,TRK00038,2024-11-16
DLV00081988,ORD00081988,TRK00011,2024-11-16
DLV00082012,ORD00082012,TRK00015,2024-11-17
DLV00082021,ORD00082021,TRK00113,2024-11-17
DLV00082024,ORD00082024,TRK00015,2024-11-17
DLV00082030,ORD00082030,TRK00038,2024-11-17
DLV00082043,ORD00082043,TRK00099,2024-11-17
DLV00082049,ORD00082049,TRK00112,2024-11-17
DLV00082068,ORD00082068,TRK00048,2024-11-17
DLV00082070,ORD00082070,TRK00099,2024-11-17
DLV00082074,ORD00082074,TRK00079,2024-11-17
DLV00082097,ORD00082097,TRK00014,2024-11-18
DLV00082100,ORD00082100,TRK00050,2024-11-18
DLV00082126,ORD00082126,TRK00069,2024-11-18
DLV00082134,ORD00082134,TRK00085,2024-11-18
DLV00082140,ORD00082140,TRK00099,2024-11-18
DLV00082160,ORD00082160,TRK00116,2024-11-19
DLV00082166,ORD00082166,TRK00014,2024-11-19
DLV00082167,ORD00082167,TRK00083,2024-11-19
DLV00082208,ORD00082208,TRK00110,2024-11-19
DLV00082211,ORD00082211,TRK00041,2024-11-19
DLV00082220,ORD00082220,TRK00064,2024-11-19
DLV00082231,ORD00082231,TRK00051,2024-11-20
DLV00082236,ORD00082236,TRK00011,2024-11-20
DLV00082249,ORD00082249,TRK00062,2024-11-20
DLV00082286,ORD00082286,TRK00069,2024-11-20
DLV00082303,ORD00082303,TRK00044,2024-11-20
DLV00082309,ORD00082309,TRK00049,2024-11-21
DLV00082336,ORD00082336,TRK00085,2024-11-21
DLV00082359,ORD00082359,TRK00110,2024-11-21
DLV00082376,ORD00082376,TRK00049,2024-11-21
DLV00082386,ORD00082386,TRK00012,2024-11-22
DLV00082476,ORD00082476,TRK00076,2024-11-23
DLV00082497,ORD00082497,TRK00076,2024-11-23
DLV00082515,ORD00082515,TRK00083,2024-11-23
DLV00082519,ORD00082519,TRK00054,2024-11-23
DLV00082526,ORD00082526,TRK00055,2024-11-23
DLV00082531,ORD00082531,TRK00069,2024-11-23
DLV00082543,ORD00082543,TRK00011,2024-11-24
DLV00082563,ORD00082563,TRK00038,2024-11-24
DLV00082578,ORD00082578,TRK00041,2024-11-24
DLV00082593,ORD00082593,TRK00049,2024-11-24
DLV00082614,ORD00082614,TRK00044,2024-11-25
DLV00082661,ORD00082661,TRK00015,2024-11-25
DLV00082670,ORD00082670,TRK00099,2024-11-25
DLV00082689,ORD00082689,TRK00101,2024-11-26
DLV00082710,ORD00082710,TRK00015,2024-11-26
DLV00082768,ORD00082768,TRK00113,2024-11-27
DLV00082777,ORD00082777,TRK00041,2024-11-27
DLV00082792,ORD00082792,TRK00116,2024-11-27
DLV00082829,ORD00082829,TRK00099,2024-11-28
DLV00082863,ORD00082863,TRK00112,2024-11-28
DLV00082886,ORD00082886,TRK00011,2024-11-28
DLV00082907,ORD00082907,TRK00112,2024-11-29
DLV00082916,ORD00082916,TRK00083,2024-11-29
DLV00082929,ORD00082929,TRK00011,2024-11-29
DLV00082934,ORD00082934,TRK00038,2024-11-29
DLV00082945,ORD00082945,TRK00079,2024-11-29
DLV00082959,ORD00082959,TRK00099,2024-11-29
DLV00082967,ORD00082967,TRK00083,2024-11-29
DLV00082987,ORD00082987,TRK00079,2024-11-30
DLV00083019,ORD00083019,TRK00051,2024-11-30
DLV00083022,ORD00083022,TRK00055,2024-11-30
DLV00083040,ORD00083040,TRK00051,2024-11-30
DLV00083051,ORD00083051,TRK00101,2024-11-30
DLV00083092,ORD00083092,TRK00106,2024-12-01
DLV00083098,ORD00083098,TRK00011,2024-12-01
DLV00083197,ORD00083197,TRK00054,2024-12-02
DLV00083208,ORD00083208,TRK00113,2024-12-02
DLV00083215,ORD00083215,TRK00031,2024-12-02
DLV00083218,ORD00083218,TRK00038,2024-12-02
DLV00083259,ORD00083259,TRK00099,2024-12-03
DLV00083272,ORD00083272,TRK00012,2024-12-03
DLV00083290,ORD00083290,TRK00076,2024-12-03
DLV00083299,ORD00083299,TRK00092,2024-12-04
DLV00083315,ORD00083315,TRK00055,2024-12-04
DLV00083317,ORD00083317,TRK00107,2024-12-04
DLV00083320,ORD00083320,TRK00069,2024-12-04
DLV00083329,ORD00083329,TRK00041,2024-12-04
DLV00083331,ORD00083331,TRK00055,2024-12-04
DLV00083340,ORD00083340,TRK00051,2024-12-04
DLV00083353,ORD00083353,TRK00092,2024-12-04
DLV00083364,ORD00083364,TRK00079,2024-12-04
DLV00083368,ORD00083368,TRK00011,2024-12-05
DLV00083385,ORD00083385,TRK00069,2024-12-05
DLV00083393,ORD00083393,TRK00038,2024-12-05
DLV00083396,ORD00083396,TRK00014,2024-12-05
DLV00083404,ORD00083404,TRK00013,2024-12-05
DLV00083413,ORD00083413,TRK00048,2024-12-05
DLV00083449,ORD00083449,TRK00006,2024-12-05
DLV00083477,ORD00083477,TRK00085,2024-12-06
DLV00083481,ORD00083481,TRK00049,2024-12-06
DLV00083505,ORD00083505,TRK00062,2024-12-06
DLV00083508,ORD00083508,TRK00083,2024-12-06
DLV00083519,ORD00083519,TRK00092,2024-12-06
DLV00083529,ORD00083529,TRK00062,2024-12-07
DLV00083545,ORD00083545,TRK00041,2024-12-07
DLV00083553,ORD00083553,TRK00051,2024-12-07
DLV00083600,ORD00083600,TRK00110,2024-12-07
DLV00083601,ORD00083601,TRK00049,2024-12-07
DLV00083616,ORD00083616,TRK00051,2024-12-08
DLV00083638,ORD00083638,TRK00110,2024-12-08
DLV00083654,ORD00083654,TRK00006,2024-12-08
DLV00083666,ORD00083666,TRK00107,2024-12-08
DLV00083683,ORD00083683,TRK00064,2024-12-09
DLV00083703,ORD00083703,TRK00076,2024-12-09
DLV00083708,ORD00083708,TRK00113,2024-12-09
DLV00083711,ORD00083711,TRK00062,2024-12-09
DLV00083721,ORD00083721,TRK00085,2024-12-09
DLV00083748,ORD00083748,TRK00014,2024-12-10
DLV00083793,ORD00083793,TRK00106,2024-12-10
DLV00083808,ORD00083808,TRK00054,2024-12-10
DLV00083812,ORD00083812,TRK00107,2024-12-10
DLV00083816,ORD00083816,TRK00116,2024-12-10
DLV00083829,ORD00083829,TRK00013,2024-12-10
DLV00083868,ORD00083868,TRK00099,2024-12-11
DLV00083869,ORD00083869,TRK00031,2024-12-11
DLV00083879,ORD00083879,TRK00113,2024-12-11
DLV00083894,ORD00083894,TRK00038,2024-12-11
DLV00083903,ORD00083903,TRK00015,2024-12-11
DLV00083958,ORD00083958,TRK00015,2024-12-12
DLV00083959,ORD00083959,TRK00085,2024-12-12
DLV00083987,ORD00083987,TRK00116,2024-12-12
DLV00083996,ORD00083996,TRK00054,2024-12-13
DLV00084007,ORD00084007,TRK00031,2024-12-13
DLV00084070,ORD00084070,TRK00011,2024-12-14
DLV00084074,ORD00084074,TRK00006,2024-12-14
DLV00084134,ORD00084134,TRK00101,2024-12-14
DLV00084145,ORD00084145,TRK00092,2024-12-15
DLV00084201,ORD00084201,TRK00064,2024-12-15
DLV00084238,ORD00084238,TRK00048,2024-12-16
DLV00084241,ORD00084241,TRK00041,2024-12-16
DLV00084266,ORD00084266,TRK00062,2024-12-16
DLV00084282,ORD00084282,TRK00015,2024-12-17
DLV00084287,ORD00084287,TRK00107,2024-12-17
DLV00084305,ORD00084305,TRK00106,2024-12-17
DLV00084322,ORD00084322,TRK00101,2024-12-17
DLV00084347,ORD00084347,TRK00079,2024-12-17
DLV00084372,ORD00084372,TRK00055,2024-12-18
DLV00084377,ORD00084377,TRK00006,2024-12-18
DLV00084383,ORD00084383,TRK00092,2024-12-18
DLV00084388,ORD00084388,TRK00038,2024-12-18
DLV00084407,ORD00084407,TRK00112,2024-12-18
DLV00084413,ORD00084413,TRK00044,2024-12-18
DLV00084417,ORD00084417,TRK00116,2024-12-18
DLV00084437,ORD00084437,TRK00110,2024-12-19
DLV00084441,ORD00084441,TRK00101,2024-12-19
DLV00084495,ORD00084495,TRK00006,2024-12-19
DLV00084497,ORD00084497,TRK00064,2024-12-19
DLV00084506,ORD00084506,TRK00012,2024-12-19
DLV00084512,ORD00084512,TRK00054,2024-12-19
DLV00084521,ORD00084521,TRK00099,2024-12-20
DLV00084591,ORD00084591,TRK00083,2024-12-21
DLV00084611,ORD00084611,TRK00044,2024-12-21
DLV00084625,ORD00084625,TRK00054,2024-12-21
DLV00084627,ORD00084627,TRK00044,2024-12-21
DLV00084631,ORD00084631,TRK00055,2024-12-21
DLV00084661,ORD00084661,TRK00041,2024-12-22
DLV00084697,ORD00084697,TRK00099,2024-12-22
DLV00084714,ORD00084714,TRK00038,2024-12-22
DLV00084716,ORD00084716,TRK00083,2024-12-22
DLV00084728,ORD00084728,TRK00062,2024-12-22
DLV00084735,ORD00084735,TRK00062,2024-12-23
DLV00084764,ORD00084764,TRK00048,2024-12-23
DLV00084766,ORD00084766,TRK00006,2024-12-23
DLV00084801,ORD00084801,TRK00069,2024-12-23
DLV00084830,ORD00084830,TRK00015,2024-12-24
DLV00084841,ORD00084841,TRK00014,2024-12-24
DLV00084848,ORD00084848,TRK00112,2024-12-24
DLV00084849,ORD00084849,TRK00011,2024-12-24
DLV00084852,ORD00084852,TRK00113,2024-12-24
DLV00084892,ORD00084892,TRK00051,2024-12-25
DLV00084906,ORD00084906,TRK00044,2024-12-25
DLV00084914,ORD00084914,TRK00106,2024-12-25
DLV00084922,ORD00084922,TRK00014,2024-12-25
DLV00084926,ORD00084926,TRK00048,2024-12-25
DLV00084934,ORD00084934,TRK00069,2024-12-25
DLV00084985,ORD00084985,TRK00014,2024-12-26
DLV00084986,ORD00084986,TRK00015,2024-12-26
DLV00085028,ORD00085028,TRK00099,2024-12-27
DLV00085075,ORD00085075,TRK00012,2024-12-27
DLV00085078,ORD00085078,TRK00006,2024-12-27
DLV00085080,ORD00085080,TRK00101,2024-12-27
DLV00085108,ORD00085108,TRK00101,2024-12-28
DLV00085122,ORD00085122,TRK00076,2024-12-28
DLV00085124,ORD00085124,TRK00012,2024-12-28
DLV00085149,ORD00085149,TRK00049,2024-12-28
DLV00085185,ORD00085185,TRK00012,2024-12-29
DLV00085188,ORD00085188,TRK00064,2024-12-29
DLV00085211,ORD00085211,TRK00110,2024-12-29
DLV00085251,ORD00085251,TRK00041,2024-12-30
DLV00085267,ORD00085267,TRK00006,2024-12-30
DLV00085270,ORD00085270,TRK00011,2024-12-30
DLV00085273,ORD00085273,TRK00064,2024-12-30
DLV00085283,ORD00085283,TRK00038,2024-12-30
DLV00085291,ORD00085291,TRK00014,2024-12-30
DLV00085293,ORD00085293,TRK00099,2024-12-30
DLV00085296,ORD00085296,TRK00054,2024-12-30
DLV00085309,ORD00085309,TRK00011,2024-12-30
DLV00085343,ORD00085343,TRK00076,2024-12-31
DLV00085358,ORD00085358,TRK00012,2024-12-31
DLV00085370,ORD00085370,TRK00055,2024-12-31
DLV00085399,ORD00085399,TRK00064,2024-12-31
